title,description,keywords,date,duration,views,n_lang,lang,speaker,speaker_job,speaker_about,n_comments
How childhood trauma affects health across a lifetime,"Childhood trauma isn’t something you just get over as you grow up. Pediatrician Nadine Burke Harris explains that the repeated stress of abuse, neglect and parents struggling with mental health or substance abuse issues has real, tangible effects on the development of the brain. This unfolds across a lifetime, to the point where those who’ve experienced high levels of trauma are at triple the risk for heart disease and lung cancer. An impassioned plea for pediatric medicine to confront the prevention and treatment of trauma, head-on.","brain, children, health, health care",September 2014,959.0,4871945,31,el | en | vi | it | ar | pt-BR | cs | gl | es | ru | nl | zh-Hant | zh-Hans | th | ro | fr | bg | hr | de | hu | fa | ja | he | sr | sq | ko | sv | pl | uk | ka | tr,Nadine Burke Harris,Pediatrician,"Nadine Burke Harris’ healthcare practice focuses on a little-understood, yet very common factor in childhood that can profoundly impact adult-onset disease: trauma.",332
Why we all need to practice emotional first aid,"We'll go to the doctor when we feel flu-ish or a nagging pain. So why don’t we see a health professional when we feel emotional pain: guilt, loss, loneliness? Too many of us deal with common psychological-health issues on our own, says Guy Winch. But we don’t have to. He makes a compelling case to practice emotional hygiene — taking care of our emotions, our minds, with the same diligence we take care of our bodies.","TEDx, health, mental health, psychology, self",November 2014,1044.0,7497645,35,el | en | vi | it | ar | pt-BR | cs | gl | es | ru | nl | pt | zh-Hant | tr | lv | zh-Hans | lt | th | ro | pl | fr | bg | hr | de | hu | fa | ja | he | ka | sr | sq | ko | sv | uk | id,Guy Winch,"Psychologist, author",Guy Winch asks us to take our emotional health as seriously as we take our physical health -- and explores how to heal from common heartaches.,327
The mathematics of love,"Finding the right mate is no cakewalk — but is it even mathematically likely? In a charming talk, mathematician Hannah Fry shows patterns in how we look for love, and gives her top three tips (verified by math!) for finding that special someone.","TED Books, TEDx, love, math, statistics, relationships",April 2014,1022.0,4825143,35,el | en | vi | ca | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hant | tr | zh-Hans | lt | th | ro | pl | fr | bg | uk | hr | de | hu | fa | ja | he | kk | sr | ko | sv | ms | sl,Hannah Fry,Complexity theorist,Hannah Fry researches the trends in our civilization and ways we can forecast its future.,139
"My simple invention, designed to keep my grandfather safe","60% of people with dementia wander off, an issue that can prove hugely stressful for both patients and caregivers. In this charming talk, hear how teen inventor Kenneth Shinozuka came up with a novel solution to help his night-wandering grandfather and the aunt who looks after him ... and how he hopes to help others with Alzheimer's.","TEDYouth, aging, design, innovation, invention, product design, technology",November 2014,346.0,1676816,35,el | en | vi | it | pt-BR | cs | id | es | ru | nl | pt | zh-Hant | tr | zh-Hans | th | ro | be | fr | uk | hr | de | hu | fa | ja | he | kk | sr | sq | mn | ko | ar | pl | mr | my | sv,Kenneth Shinozuka,Smart product inventor,Kenneth Shinozuka designs smart products ... He's been doing so since he was in kindergarten.,71
How to run a company with (almost) no rules,"What if your job didn't control your life? Brazilian CEO Ricardo Semler practices a radical form of corporate democracy, rethinking everything from board meetings to how workers report their vacation days (they don't have to). It's a vision that rewards the wisdom of workers, promotes work-life balance — and leads to some deep insight on what work, and life, is really all about. Bonus question: What if schools were like this too?","business, creativity, philosophy, work, leadership",October 2014,1302.0,2911338,29,pt | pt-BR | es | el | en | vi | it | ar | cs | ru | nl | zh-Hans | zh-Hant | tr | hr | lt | th | ro | fr | bg | uk | de | hu | fa | ja | he | sr | ko | sk,Ricardo Semler,Organizational changemaker,"Two decades after transforming a struggling equipment supplier into a radically democratic and resilient (and successful) company, Ricardo Semler wants organizations to become wise.",105
How butterflies self-medicate,"Just like us, the monarch butterfly sometimes gets sick thanks to a nasty parasite. But biologist Jaap de Roode noticed something interesting about the butterflies he was studying — infected female butterflies would choose to lay their eggs on a specific kind of plant that helped their offspring avoid getting sick. How do they know to choose this plant? Think of it as ""the other butterfly effect"" — which could teach us to find new medicines for the treatment of human disease.","TEDYouth, biology, insects, science, medicine, disease, animals, biomimicry, medical research, health, microbes, plants, microbiology",November 2014,375.0,1119019,31,en | vi | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | th | ro | pl | fr | bg | uk | hu | fa | ja | he | sr | ko | sv | sk | mr | my,Jaap de Roode,Biologist,"Jaap de Roode studies the ecology and evolution of parasites, focusing on those that attack the monarch butterfly.",36
Old books reborn as art,"What do you do with an outdated encyclopedia in the information age? With X-Acto knives and an eye for a good remix, artist Brian Dettmer makes beautiful, unexpected sculptures that breathe new life into old books.","TEDYouth, art, creativity, books",November 2014,366.0,1238065,34,el | en | vi | it | ar | pt-BR | uk | cs | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | pl | fr | bg | de | hu | fa | ja | he | sr | sq | mn | ko | sv | my,Brian Dettmer,Brian Dettmer,"Artist Brian Dettmer digs into a good book (literally, with a knife) to create beautifully intricate forms that reflect how we see old information in a modern world.",52
"Got a wicked problem? First, tell me how you make toast","Making toast doesn’t sound very complicated — until someone asks you to draw the process, step by step. Tom Wujec loves asking people and teams to draw how they make toast, because the process reveals unexpected truths about how we can solve our biggest, most complicated problems at work. Learn how to run this exercise yourself, and hear Wujec’s surprising insights from watching thousands of people draw toast.","business, collaboration, creativity, design, leadership",June 2013,541.0,2865115,28,en | vi | it | ar | pt-BR | cs | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | fr | bg | uk | de | fa | hu | ja | he | sr | ko | pl,Tom Wujec,Designer,Tom Wujec studies how we share and absorb information. He's an innovative practitioner of business visualization -- using design and technology to help groups solve problems and understand ideas. He is a Fellow at Autodesk.,57
"10 myths about psychology, debunked","How much of what you think about your brain is actually wrong? In this whistlestop tour of dis-proved science, Ben Ambridge walks through 10 popular ideas about psychology that have been proven wrong — and uncovers a few surprising truths about how our brains really work.","TEDx, brain, psychology, TEDYouth, personality",November 2014,895.0,2941881,28,el | en | vi | it | ar | pt-BR | es | ru | nl | zh-Hans | zh-Hant | tr | hr | lt | ro | pl | fr | bg | de | hu | fa | he | sr | sq | ko | sv | uk | pt,Ben Ambridge,Psychologist,"Ben Ambridge is the author of ""Psy-Q,"" a sparkling book debunking what we think we know about psychology.",206
Humanity vs. Ebola. How we could win a terrifying war,"""Ebola threatens everything that makes us human,"" says Bruce Aylward of the World Health Organization. And when the Ebola epidemic exploded in 2014, it caused a worldwide panic. But humanity can beat Ebola — and Aylward shows four strategies that show how we are succeeding. The fight against Ebola is not yet won, he says, but it can be.","TEDx, disease, ebola, health, public health, virus",December 2014,1151.0,911963,23,pt-BR | el | en | vi | it | ar | es | ru | nl | pt | zh-Hant | tr | zh-Hans | th | ro | fr | uk | hu | fa | ja | he | sr | ko,Bruce Aylward,Epidemiologist,"As the Assistant Director-General of the World Health Organization’s Polio and Emergencies Cluster, Bruce Aylward works to ensure that polio stays under control and that the world is prepared to respond to health crises.",37
"Online social change: easy to organize, hard to win","Today, a single email can launch a worldwide movement. But as sociologist Zeynep Tufekci suggests, even though online activism is easy to grow, it often doesn't last. Why? She compares modern movements — Gezi, Ukraine, Hong Kong — to the civil rights movement of the 1960s, and uncovers a surprising benefit of organizing protest movements the way it happened before Twitter.","activism, protests, social change, social media, society, sociology, technology",October 2014,974.0,1212711,22,pt-BR | el | en | vi | it | ar | es | ru | nl | pt | zh-Hant | tr | zh-Hans | ro | fr | hr | hu | fa | ja | he | ko | sr,Zeynep Tufekci,Techno-sociologist,"Techno-sociologist Zeynep Tufekci asks big questions about our societies and our lives, as both algorithms and digital connectivity spread.",52
The beauty and diversity of Muslim life,"Bassam Tariq is a blogger, a filmmaker, and a halal butcher — but one thread unites his work: His joy in the diversity, the humanness of our individual experiences. In this charming talk, he shares clips from his film ""These Birds Walk"" and images from his tour of 30 mosques in 30 days — and reminds us to consider the beautiful complexity within us all.","TED Fellows, creativity, film, writing",October 2014,278.0,1404491,36,el | en | vi | ca | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | fr | uk | fr-CA | bn | de | hu | fa | ja | he | kk | sr | ko | sv | ur | sk | pl,Bassam Tariq,Creative spirit,"Bassam Tariq delights in making eclectic career choices. A blogger, a filmmaker, and a butcher's shop owner, the common theme linking everything together is his boundless celebration of humanity.",341
My mother’s strange definition of empowerment,"Khadija Gbla grew up caught between two definitions of what it means to be an “empowered woman.” While her Sierra Leonean mother thought that circumsizing her — and thus stifling her sexual urges — was the ultimate form of empowerment, her culture as a teenager in Australia told her that she deserved pleasure and that what happened to her was called “female genital mutilation.” In a candid and funny talk, she shares what it was like to make her way in a “clitoris-centric society,” and how she works to make sure other women don’t have to figure this out. (Warning: This talk contains hard-to-hear details.)","Africa, TEDx, culture, global issues, women",October 2014,1120.0,1190303,24,el | en | vi | it | ar | pt-BR | es | ru | nl | zh-Hant | tr | zh-Hans | ro | pl | fr | uk | fr-CA | de | fa | ja | he | sr | ko | sv,Khadija Gbla,Cross-cultural consultant,"Khadija Gbla was born in Sierra Leone, spent her youth in Gambia, and as a teenager put down roots in Australia. She uses her cross-cultural heritage to promote understanding in both directions.",95
"To solve mass violence, look to locals","Severine Autesserre studies the Democratic Republic of Congo, which is in the middle of the deadliest conflict since World War II; it's been called ""the largest ongoing humanitarian crisis in the world.” The conflict seems hopelessly, unsolvably large. But her insight from decades of listening and engaging: The conflicts are often locally based. And instead of focusing on solutions that scale to a national level, leaders and aid groups might be better served solving local crises before they ignite.","government, peace, war",October 2014,961.0,769973,19,el | en | vi | it | ar | pt-BR | es | ru | nl | zh-Hant | zh-Hans | fr | de | fa | ja | he | sr | ko | cs,Severine Autesserre,Peace and conflict researcher,"Severine Autesserre traces civil war and endemic violence to its roots, and its resolution, in local and interpersonal conflicts.",33
Brain-to-brain communication has arrived. How we did it,"You may remember neuroscientist Miguel Nicolelis — he built the brain-controlled exoskeleton that allowed a paralyzed man to kick the first ball of the 2014 World Cup. What’s he working on now? Building ways for two minds (rats and monkeys, for now) to send messages brain to brain. Watch to the end for an experiment that, as he says, will go to ""the limit of your imagination.""","brain, communication, neuroscience",October 2014,1137.0,1365193,28,en | vi | it | ar | pt-BR | cs | gl | es | ru | pt | zh-Hans | zh-Hant | tr | hr | ro | fr | bg | fr-CA | de | hu | fa | ja | he | sr | ko | sv | nl | pl,Miguel Nicolelis,Neuroscientist,Miguel Nicolelis explores the limits of the brain-machine interface.,116
The danger of hiding who you are,"Morgana Bailey has been hiding her true self for 16 years. In a brave talk, she utters four words that might not seem like a big deal to some, but to her have been paralyzing. Why speak up? Because she's realized that her silence has personal, professional and societal consequences. In front of an audience of her co-workers, she reflects on what it means to fear the judgment of others, and how it makes us judge ourselves.","LGBT, business, social change, work, gender equality",November 2014,622.0,2860764,34,en | el | vi | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hant | tr | zh-Hans | lt | th | ro | fr | bg | uk | hr | de | da | fa | hu | ja | he | sr | ko | sk | pl | my | gl,Morgana Bailey,Human resources professional,"A human resources activist, Morgana Bailey wants to see the diversity of society reflected in the workplace, and employees of all walks of life feel comfortable being open about who they are.",190
"Better toilets, better life","In rural India, the lack of toilets creates a big, stinking problem. It leads to poor quality water, one of the leading causes of disease in India, and has a disproportionately negative effect on women. Joe Madiath introduces a program to help villagers help themselves, by building clean, protected water and sanitation systems and requiring everyone in the village to collaborate — with significant benefits that ripple across health, education and even government.","sanitation, water, global development",October 2014,727.0,1009459,25,el | en | vi | it | ar | pt-BR | id | es | ru | nl | pt | zh-Hant | tr | zh-Hans | th | ro | pl | fr | de | fa | ja | he | sr | ko | sv,Joe Madiath,Social entrepreneur,Joe Madiath brings Indian villagers together around water and sanitation projects.,33
Why I make robots the size of a grain of rice,"By studying the movement and bodies of insects such as ants, Sarah Bergbreiter and her team build incredibly robust, super teeny, mechanical versions of creepy crawlies … and then they add rockets. See their jaw-dropping developments in micro-robotics, and hear about three ways we might use these little helpers in the future.","TEDYouth, engineering, robots, technology",November 2014,366.0,1625068,33,el | en | vi | it | ar | pt-BR | cs | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | th | ro | fr | bg | uk | de | da | fa | hu | ja | he | sr | sq | ko | sv | my | id | pl,Sarah Bergbreiter,Microroboticist,Sarah Bergbreiter packs advanced technologies into tiny robots that can overcome obstacles 80 times their height.,49
How to let altruism be your guide,"What is altruism? Put simply, it's the wish that other people may be happy. And, says Matthieu Ricard, a happiness researcher and a Buddhist monk, altruism is also a great lens for making decisions, both for the short and long term, in work and in life.","communication, compassion",October 2014,967.0,2037942,32,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hans | zh-Hant | ne | hr | th | ro | pl | fr | uk | fr-CA | de | hu | fa | ja | he | sr | ko | sv | sk | my | tr | hi,Matthieu Ricard,"Monk, author, photographer","Sometimes called the ""happiest man in the world,"" Matthieu Ricard is a Buddhist monk, author and photographer.",123
Poetry that frees the soul,"""It's said that to be a poet, you have to go to hell and back."" Cristina Domenech teaches writing at an Argentinian prison, and she tells the moving story of helping incarcerated people express themselves, understand themselves — and glory in the freedom of language. Watch for a powerful reading from one of her students, an inmate, in front of an audience of 10,000. (In Spanish with English subtitles)","TEDx, creativity, crime, language, poetry, prison, TED en Español",October 2014,757.0,734134,26,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | zh-Hans | lt | th | ro | pl | fr | de | fa | ja | he | sr | sq | ko | sk | uk,Cristina Domenech,Poet and educator,Cristina Domenech proposes to use language as an instrument of liberation and as a way to change the world.,50
How to protect fast-growing cities from failing,"Worldwide, violence is on the decline, but in the crowded cities of the global south — cities like Aleppo, Bamako and Caracas — violence is actually accelerating, fueled by the drug trade, mass unemployment and civil unrest. Security researcher Robert Muggah turns our attention toward these ""fragile cities,"" super-fast-growing places where infrastructure is weak and government often ineffective. He shows us the four big risks we face, and offers a way to change course.","cities, global issues, violence, war, youth, infrastructure",October 2014,888.0,960923,24,el | en | vi | it | ar | pt-BR | es | ru | nl | zh-Hant | tr | zh-Hans | ro | pl | fr | hu | fa | ja | he | sr | ko | uk | pt | ca,Robert Muggah,Megacities expert,Robert Muggah creates tools to understand cycles of violence in urban environments and opens dialogues on ways to confront them globally.,46
Let's save the last pristine continent,"2041 will be a pivotal year for our planet. That year will mark the end of a 50-year agreement to keep Antarctica, the Earth's last pristine continent, free of exploitation. Explorer Robert Swan — the first person to walk both the North and South Poles — is on a mission to ensure that we extend that treaty. With passion and vigor, he pleads with us to choose the preservation of the Antarctic for our own survival.","climate change, environment, exploration, Antarctica",October 2014,962.0,1016033,25,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | tr | zh-Hans | th | ro | fr | bg | hu | ja | he | sr | ko | sk | uk | pl,Robert Swan,Polar explorer,"Robert Swan has explored both poles, and wants to make sure that Antarctica, the world's last great wilderness, is never exploited.",33
Creative problem-solving in the face of extreme limits,"Navi Radjou has spent years studying ""jugaad,"" also known as frugal innovation. Pioneered by entrepreneurs in emerging markets who figured out how to get spectacular value from limited resources, the practice has now caught on globally. Peppering his talk with a wealth of examples of human ingenuity at work, Radjou also shares three principles for how we can all do more with less.","business, entrepreneur, innovation",October 2014,985.0,1728100,24,el | en | vi | it | ar | pt-BR | es | ru | zh-Hant | tr | zh-Hans | th | ro | pl | fr | hu | fa | ja | he | sr | ko | sk | uk | de,Navi Radjou,Innovation strategist,"Drawing inspiration from frugal innovators in emerging markets, Navi Radjou helps businesses with limited resources discover unexpected ways to succeed.",70
Hopeful lessons from the battle to save rainforests,"""Save the rainforest"" is an environmental slogan as old as time — but Tasso Azevedo catches us up on how the fight is actually going these days. Spurred by the jaw-dropping losses of the 1990s, new laws (and transparent data) are helping slow the rate of deforestation in Brazil. Is it enough? Not yet. He has five ideas about what we should do next. And he asks if the lessons learned in Brazil could be applied to an even bigger problem: global climate change.","climate change, politics, science, ecology, trees, conservation, plants, environment, social change, sustainability, green, global commons",October 2014,916.0,918659,26,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | tr | zh-Hans | ro | fr | hu | fa | ja | he | mn | ko | sv | sk | uk | de | pl,Tasso Azevedo,Forester and sustainability activist,Tasso Azevedo has helped reduce the rate of deforestation in Brazil’s Amazon rainforest by 75 percent — and inspired similar efforts around the world.,22
"A forensic anthropologist who brings closure for the ""disappeared""","In Guatemala's 36-year conflict, 200,000 civilians were killed — and more than 40,000 were never identified. At the Forensic Anthropology Foundation of Guatemala, Fredy Peccerelli and his team use DNA, archeology and storytelling to help families find the bodies of their loved ones. It's a sobering task, but it can bring peace of mind — and sometimes, justice. (Contains medical imagery.)","TEDYouth, anthropology, global issues, war, forensics",November 2014,520.0,759680,28,el | en | vi | it | ar | pt-BR | id | es | nl | pt | zh-Hans | zh-Hant | tr | hr | th | ro | fr | ru | fr-CA | de | fa | ja | he | sr | ko | sv | sk | pl,Fredy Peccerelli,Forensic anthropologist,"Fredy Peccerelli works with families whose loved ones “disappeared” in the 36-year armed conflict in Guatemala. The executive director of the Guatemalan Forensic Anthropology Foundation, he helps locate bodies and give back identities to those buried in mass graves.",18
"For more tolerance, we need more ... tourism?",Aziz Abu Sarah is a Palestinian activist with an unusual approach to peace-keeping: Be a tourist. The TED Fellow shows how simple interactions with people in different cultures can erode decades of hate. He starts with Palestinians visiting Israelis and moves beyond ...,"Middle East, TED Fellows, activism, culture, peace, travel, violence, war",March 2014,277.0,1423472,41,el | en | vi | ca | it | ar | pt-BR | cs | az | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | pl | be | fr | fr-CA | bn | de | da | fa | bs | hu | ja | he | sr | ko | sv | sk | uk | mr | af | ku,Aziz Abu Sarah,Entrepreneur + educator,Aziz Abu Sarah helps people break down cultural and historical barriers through tourism.,70
Happy maps,"Mapping apps help us find the fastest route to where we’re going. But what if we’d rather wander? Researcher Daniele Quercia demos “happy maps” that take into account not only the route you want to take, but how you want to feel along the way.","cities, design, happiness, map, technology",November 2014,440.0,2311244,33,el | en | vi | ca | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | th | ro | pl | fr | bg | de | hu | fa | ja | he | sr | ko | sv | sk | uk | my,Daniele Quercia,Map researcher,"At Yahoo! Labs in Barcelona, Daniele Quercia and his colleagues imagine new ways to use online maps to improve our lives.",80
Why you should care about whale poo,"Whales have a surprising and important job, says marine biologist Asha de Vos: these massive creatures are ecosystem engineers, keeping the oceans healthy and stable by ... well, by pooping, for a start. Learn from de Vos, a TED Fellow, about the undervalued work that whales do to help maintain the stability and health of our seas — and our planet.","TED Fellows, biology, nature, oceans, marine biology",October 2014,345.0,1359688,31,el | en | vi | it | ar | pt-BR | cs | es | ru | nl | pt | zh-Hant | tr | zh-Hans | th | ro | pl | fr | bg | hr | de | hu | fa | ja | he | sr | ko | sv | sk | si | hy,Asha de Vos,Protector of whales,"Dedicated to increasing awareness about Northern Indian Ocean blue whales, Asha de Vos is also committed to inspiring the next generation of marine biologists.",32
"See invisible motion, hear silent sounds","Meet the “motion microscope,” a video-processing tool that plays up tiny changes in motion and color impossible to see with the naked eye. Video researcher Michael Rubinstein plays us clip after jaw-dropping clip showing how this tech can track an individual’s pulse and heartbeat simply from a piece of footage. Watch him re-create a conversation by amplifying the movements from sound waves bouncing off a bag of chips. The wow-inspiring and sinister applications of this tech you have to see to believe.","TEDx, demo, film, online video, photography, sight, sound, technology",November 2014,798.0,2049224,30,el | en | vi | it | ar | pt-BR | cs | id | es | ru | nl | zh-Hant | tr | zh-Hans | lt | ro | fr | hr | bn | fa | ja | he | sr | sq | ko | sv | sk | pl | uk | my,Michael Rubinstein,"Research scientist, Google","Computer scientist Michael Rubinstein and his team have developed a ""motion microscope"" that can show video footage of barely perceivable movements, like breaths and heartbeats.",102
"Go ahead, make up new words!","In this fun, short talk from TEDYouth, lexicographer Erin McKean encourages — nay, cheerleads — her audience to create new words when the existing ones won’t quite do. She lists out 6 ways to make new words in English, from compounding to “verbing,” in order to make language better at expressing what we mean, and to create more ways for us to understand one another.","TEDYouth, communication, creativity, language",November 2014,412.0,1807931,35,el | en | vi | it | ar | pt-BR | az | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | pl | fr | bg | uk | fr-CA | de | fa | ja | he | sr | ko | sv | ur | sk | my | cs,Erin McKean,Dictionary editor,"As the co-founder of Reverb Technologies, the maker of the online dictionary Wordnik, Erin McKean is reshaping how we interact with language itself.",91
Trash cart superheroes,"In Brazil, ""catadores"" collect junk and recyclables. But while they provide a vital service that benefits all, they are nearly invisible as they roam the streets. Enter graffiti artist Mundano, a TED Fellow. In a spirited talk, he describes his project ""Pimp My Carroça,"" which has transformed these heroic workers' carts into things of beauty and infused them with a sense of humor. It's a movement that is going global.","Brazil, TED Fellows, art, social change, street art",October 2014,322.0,1011477,34,el | en | vi | it | ar | pt-BR | cs | az | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | lv | hr | th | ro | pl | fr | bg | bn | de | fa | hu | ja | he | sr | mn | ko | sv | uk,Mundano,Graffiti artist + activist,"Mundano's bold, colorful street art isn't just eye candy. His projects call attention to social, environmental and political issues, while raising chuckles from passersby.",47
Got a smartphone? Start broadcasting,"In 2011, journalist Bruno Torturra covered a protest in São Paulo which turned ugly. His experience of being teargassed had a profound effect on the way he thought about his work, and he quit his job to focus on broadcasting raw, unedited experiences online. In this fascinating talk, he shares some of the ways in which he's experimented with livestreaming on the web, and how in the process he has helped to create a very modern media network.","activism, journalism, media, online video, politics, social media, web",October 2014,815.0,1311707,22,el | en | vi | it | ar | pt-BR | es | ru | nl | zh-Hant | zh-Hans | th | ro | pl | fr | hu | fa | ja | he | sr | ko | uk,Bruno Torturra,Livestreaming activist,"Journalist and photographer Bruno Torturra is the face of Media Ninja, a Brazilian digital collective making headlines for its ability to cover big news as it happens.",37
The power of believing that you can improve,"Carol Dweck researches “growth mindset” — the idea that we can grow our brain's capacity to learn and to solve problems. In this talk, she describes two ways to think about a problem that’s slightly too hard for you to solve. Are you not smart enough to solve it … or have you just not solved it yet? A great introduction to this influential field.","TEDx, brain, business, education, intelligence, personal growth, psychology",November 2014,620.0,8639754,41,el | en | vi | it | hy | pt-BR | cs | az | id | es | ru | nl | pt | zh-Hans | zh-Hant | nb | tr | hr | lt | th | ro | pl | fr | bg | uk | de | hu | fa | fi | ja | he | ka | te | sr | sq | mn | ko | sv | sk | ar | my,Carol Dweck,Psychologist,"Carol Dweck is a pioneering researcher in the field of motivation, why people succeed (or don't) and how to foster success.",231
The wonderful and terrifying implications of computers that can learn,"What happens when we teach a computer how to learn? Technologist Jeremy Howard shares some surprising new developments in the fast-moving field of deep learning, a technique that can give computers the ability to learn Chinese, or to recognize objects in photos, or to help think through a medical diagnosis. (One deep learning tool, after watching hours of YouTube, taught itself the concept of ""cats."") Get caught up on a field that will change the way the computers around you behave ... sooner than you probably think.","AI, algorithm, computers, health, intelligence, technology, machine learning",December 2014,1185.0,2424021,26,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | tr | zh-Hans | lt | th | ro | pl | fr | de | hu | fa | ja | he | ko | sv | uk,Jeremy Howard,Data scientist,Jeremy Howard imagines how advanced machine learning can improve our lives.,257
How to overcome our biases? Walk boldly toward them,"Our biases can be dangerous, even deadly — as we've seen in the cases of Michael Brown in Ferguson, Missouri, and Eric Garner, in Staten Island, New York. Diversity advocate Vernā Myers looks closely at some of the subconscious attitudes we hold toward out-groups. She makes a plea to all people: Acknowledge your biases. Then move toward, not away from, the groups that make you uncomfortable. In a funny, impassioned, important talk, she shows us how.","TEDx, inequality, race, social change, society, diversity",November 2014,1069.0,1827818,25,el | en | vi | it | ar | pt-BR | es | ru | pt | zh-Hans | zh-Hant | tr | hr | ro | fr | de | hu | fa | ja | he | sr | ko | sv | uk | pl,Vernā Myers,Diversity advocate,"Vernā Myers is dedicated to promoting meaningful, lasting diversity in the workplace.",170
Social maps that reveal a city's intersections — and separations,"Every city has its neighborhoods, cliques and clubs, the hidden lines that join and divide people in the same town. What can we learn about cities by looking at what people share online? Starting with his own home town of Baltimore, Dave Troy has been visualizing what the tweets of city dwellers reveal about who lives there, who they talk to — and who they don’t.","cities, culture, social media, visualizations",October 2014,328.0,1343293,32,el | en | vi | ca | it | ar | pt-BR | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | lt | th | ro | pl | fr | fr-CA | de | hu | fa | ja | he | sr | sq | ko | sv | uk,Dave Troy,Technologist,"The co-host of TEDxMidAtlantic, Dave Troy is a serial entrepreneur and a data-viz fan.",65
The small and surprisingly dangerous detail the police track about you,"A very unsexy-sounding piece of technology could mean that the police know where you go, with whom, and when: the automatic license plate reader. These cameras are innocuously placed all across small-town America to catch known criminals, but as lawyer and TED Fellow Catherine Crump shows, the data they collect in aggregate could have disastrous consequences for everyone the world over.","TED Fellows, data, privacy, surveillance",October 2014,354.0,1941976,32,el | en | vi | it | ar | pt-BR | cs | id | es | ru | nl | pt | zh-Hans | zh-Hant | tr | hr | th | ro | pl | fr | bg | fr-CA | de | hu | fa | ja | he | sr | ko | sv | sk | uk,Catherine Crump,Attorney + privacy advocate,Catherine Crump is an assistant clinical professor at Berkeley Law School who focuses on the laws around data and surveillance.,415
The world's most boring television ... and why it's hilariously addictive,"You've heard about slow food. Now here's slow ... TV? In this very funny talk, Norwegian television producer Thomas Hellum shares how he and his team began to broadcast long, boring events, often live — and found a rapt audience. Shows include a 7-hour train journey, an 18-hour fishing expedition and a 5.5-day ferry voyage along the coast of Norway. The results are both beautiful and fascinating. Really.","TEDx, entertainment, film, storytelling, television",August 2014,1086.0,2231364,30,el | en | vi | it | ar | pt-BR | cs | es | ru | nl | zh-Hant | tr | lv | zh-Hans | lt | th | ro | pl | fr | bg | hr | de | hu | fa | ja | he | sr | ko | sv | uk,Thomas Hellum,Slow television advocate,Thomas Hellum is an award-winning television producer who works at NRK Hordaland in Norway.,147
Fighters and mourners of the Ukrainian revolution,"“Men fight wars, and women mourn them,” says documentary photographer Anastasia Taylor-Lind. With stark, arresting images from the Maidan protests in Ukraine, the TED Fellow shows us intimate faces from the revolution. A grim and beautiful talk.","TED Fellows, photography, war",October 2014,365.0,717753,32,el | en | vi | it | ar | pt-BR | cs | es | ru | nl | pt | zh-Hant | tr | lv | zh-Hans | lt | th | ro | pl | fr | hr | de | hu | fa | fi | ja | he | sr | ko | sv | sk | uk,Anastasia Taylor-Lind,Documentary photographer,"Anastasia Taylor-Lind is a documentary photographer who works around the world on issues relating to women, birth rights, depopulation and post-conflict regions.",113
How Christmas lights helped guerrillas put down their guns,"“In my lifetime, I have never lived one day of peace in my country,” says Jose Miguel Sokoloff. This ad executive from Colombia saw a chance to help guerrilla fighters choose to come home — with smart marketing. He shares how some creative, welcoming messages have helped thousands of guerrillas decide to put down their weapons — and the key insights behind these surprising tactics.","advertising, creativity, war",October 2014,862.0,796999,24,el | en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | tr | zh-Hans | ro | pl | fr | de | hu | fa | ja | he | ko | mk | uk,Jose Miguel Sokoloff,Anti-guerrilla creative,Ad exec Jose Miguel Sokoloff has led a multi-year marketing campaign that's helped Colombian guerrillas realize that they are wanted back home.,43
